time,x,y,z,qx,qy,qz,qw
2.49,0.01829075136034288,5.113606120829168e-07,0.07691355779675355,-3.3227135705943e-06,0.09299533654426136,-3.125691338623152e-07,0.99566654426564
2.99,0.018290749086235,5.113398174624287e-07,0.07691355779675355,-3.322675553267978e-06,0.09299533654426272,-3.129761712430101e-07,0.9956665442656398
3.49,0.3033213376206452,-2.0457046701533196e-09,0.07691295984547558,2.470620921127013e-10,0.09299558704597002,-2.6794389977108063e-09,0.9956665208743214
3.99,0.7783713376206456,-2.0459382544650783e-09,0.07691295984547558,2.4666695240358606e-10,0.09299558704597002,-2.675208394893874e-09,0.9956665208743214
4.49,1.2534213376206453,-2.0461718387712618e-09,0.07691295984547558,2.4627181265756284e-10,0.09299558704597002,-2.670977792078425e-09,0.9956665208743214
4.99,1.7284713376206444,-2.046405423083662e-09,0.07691295984547558,2.458766729514902e-10,0.09299558704597002,-2.666747189258573e-09,0.9956665208743214
5.49,2.203521337620642,-2.0466390073943954e-09,0.07691295984547558,2.4548153323388805e-10,0.09299558704597002,-2.662516586438149e-09,0.9956665208743214
5.99,2.678571337620639,-2.046872591707053e-09,0.07691295984547558,2.450863935282807e-10,0.09299558704597002,-2.658285983615554e-09,0.9956665208743214
6.49,3.1536213376206357,-2.0471061760138666e-09,0.07691295984547558,2.446912537844123e-10,0.09299558704597002,-2.6540553807955305e-09,0.9956665208743214
6.99,3.6286713376206325,-2.0473397603256993e-09,0.07691295984547558,2.4429611407291333e-10,0.09299558704597002,-2.6498247779721796e-09,0.9956665208743214
7.49,4.1037213376206285,-2.0475733446350455e-09,0.07691295984547558,2.4390097434397997e-10,0.09299558704597002,-2.6455941751474113e-09,0.9956665208743214
7.99,4.57877133762063,-2.0478069289433483e-09,0.07691295984547558,2.4350583460791983e-10,0.09299558704597002,-2.6413635723224e-09,0.9956665208743214
8.49,5.053821337620631,-2.0480405132556314e-09,0.07691295984547558,2.4311069489607106e-10,0.09299558704597002,-2.6371329694916704e-09,0.9956665208743214
8.99,5.528871337620632,-2.048274097567616e-09,0.07691295984547558,2.4271555518245595e-10,0.09299558704597002,-2.63290236666142e-09,0.9956665208743214
9.49,6.003921337620634,-2.048507681878635e-09,0.07691295984547558,2.4232041546264825e-10,0.09299558704597002,-2.6286717638318105e-09,0.9956665208743214
9.99,6.47857697736931,0.001923643536975682,0.07691295984546986,-0.003537161897372138,0.09292829330401375,0.03787097634173346,0.9949460336823495
10.49,6.946304444831134,0.028282866183916452,0.07691295985548034,-0.01197992280054733,0.09222071707862413,0.12826423709162277,0.9873702984567144
10.99,7.353285994840324,0.17532784611918742,0.07691295992429506,-0.03239609323644562,0.08717036170543814,0.346852054293364,0.9332981697269271
11.49,7.5741052389276255,0.5345074080318847,0.07691295981620871,-0.052615520235627974,0.07667976426205513,0.5633333236882384,0.8209795291025301
11.99,7.624472939468707,0.9950645632389378,0.07691295984547891,-0.06319833691155069,0.06822132673034915,0.6766392926516078,0.7304184337971605
12.49,7.632334410257405,1.4696822583051794,0.07691295984547489,-0.06737188455425377,0.06410310742848223,0.7213237963996534,0.6863263083528215
12.99,7.62286938185394,1.9421910583890607,0.07691295984547455,-0.0691237995722096,0.06220996337823822,0.7400808491255613,0.6660571728814032
13.49,7.615394031454217,2.413924667876592,0.07691295984547455,-0.06912379954541864,0.06220996340800664,0.7400808488387213,0.6660571732001219
13.94,7.608666216094465,2.8384849164153714,0.07691295984547455,-0.06912379952130679,0.06220996343479823,0.7400808485805652,0.6660571734869686
14.44,7.601190865694744,3.3102185259029033,0.07691295984547455,-0.06912379949451584,0.06220996346456663,0.7400808482937254,0.666057173805687
14.94,7.593715515295023,3.781952135390436,0.07691295984547455,-0.06912379946772491,0.062209963494335024,0.7400808480068857,0.6660571741244052
15.44,7.5862401648953,4.2536857448779655,0.07691295984547455,-0.06912379944093398,0.06220996352410342,0.7400808477200459,0.6660571744431237
15.94,7.578764814495576,4.725419354365489,0.07691295984547457,-0.06912379941414301,0.06220996355387183,0.7400808474332058,0.6660571747618422
16.44,7.571289464095856,5.197152963853013,0.07691295984547455,-0.06912379938735207,0.06220996358364026,0.7400808471463659,0.6660571750805607
