time,x,y,z,qx,qy,qz,qw
0.24100000000000002,-0.001023768270430428,0.000647537942782388,0.0,0.0,0.0,0.000524402891763477,0.9999998625007941
0.741,0.004736149106381662,0.015567029547149338,0.0,0.0,0.0,-0.00029640238794374866,0.9999999560728112
1.241,0.00017251383152781617,-0.009985775317575179,0.0,0.0,0.0,0.0014447904428060555,0.9999989562897436
1.741,0.01560691258726012,-8.280211697938203e-05,0.0,0.0,0.0,0.001252673494255907,0.9999992154042506
2.241,0.3821209224637672,-0.01227903750437489,0.0,0.0,0.0,6.841676350580111e-05,0.9999999976595733
2.741,0.9371982102991756,-0.007329809741895201,0.0,0.0,0.0,-0.002004205445590786,0.9999979915782491
3.241,1.4655450602368105,0.041825120539788714,0.0,0.0,0.0,-0.0004911500091960701,0.9999998793858269
3.741,1.9522650797435952,0.07804366345337681,0.0,0.0,0.0,-0.0011792339395126615,0.9999993047034162
4.241,2.4485350390074943,0.11543798092708503,0.0,0.0,0.0,-0.0008192161500164086,0.9999996644423935
4.741,2.92689466813026,0.1427764507243734,0.0,0.0,0.0,-0.0017761595203575338,0.9999984226274351
5.221,3.3838039634300006,0.1613267745538062,0.0,0.0,0.0,7.954319210040386e-05,0.9999999968364403
5.721,3.851638412242771,0.17205843831970605,0.0,0.0,0.0,0.0006730880163264589,0.9999997734762355
6.221,4.3367534612139265,0.17782338108631665,0.0,0.0,0.0,0.00031090390646786357,0.9999999516693793
6.721,4.812904838432878,0.23865023538548705,0.0,0.0,0.0,0.0010650265523070703,0.9999994328590606
7.221,5.2585306268233705,0.28772180422613647,0.0,0.0,0.0,-0.0020337455551090304,0.9999979319373701
7.721,5.7511405898092365,0.2914988144042113,0.0,0.0,0.0,-0.000654432296845988,0.9999997858591615
8.221,6.24729016299832,0.33762625503884486,0.0,0.0,0.0,0.0007056451780298472,0.9999997510324103
8.721,6.366004950076637,0.3928056222611406,0.0,0.0,0.0,0.0703279230888173,0.9975239261461418
9.221,6.322677938890671,0.4189522925682836,0.0,0.0,0.0,0.19595255210540105,0.9806133781074884
9.721,6.297872959741375,0.42529468607166904,0.0,0.0,0.0,0.3258450557678901,0.9454231854739023
10.221,6.279500631095024,0.4664059209310729,0.0,0.0,0.0,0.4547916546745728,0.8905978614606955
10.721,6.251689994202162,0.5294704259602353,0.0,0.0,0.0,0.567567124795681,0.8233271274840662
11.221,6.2326863612347205,0.5598979384886862,0.0,0.0,0.0,0.662234223049792,0.7492968929747663
11.721,6.260956054247446,0.8345655970513545,0.0,0.0,0.0,0.7082214964929994,0.7059903058153252
12.221,6.276713574607491,1.4076012858662792,0.0,0.0,0.0,0.7039742434248799,0.7102255026358656
12.721,6.246234965669913,1.8974324394369377,0.0,0.0,0.0,0.7018570369143926,0.7123178361755017
13.201,6.200667160753681,2.404607385994243,0.0,0.0,0.0,0.7007847295299965,0.7133728077643341
13.701,6.197741725842758,2.9067366025921455,0.0,0.0,0.0,0.7027965088532627,0.7113909383339556
14.201,6.141374136856136,3.3707091979957804,0.0,0.0,0.0,0.702169804512994,0.7120095263619608
14.701,6.09210187798278,3.8654571594199796,0.0,0.0,0.0,0.7006810331027583,0.7134746595710679
15.201,6.009915833296555,4.345164086589151,0.0,0.0,0.0,0.7022686662824118,0.7119120172871943
15.701,5.9882942489865005,4.830595524180763,0.0,0.0,0.0,0.7014287562542172,0.712739573687095
16.201,5.950598238750393,5.34546533623951,0.0,0.0,0.0,0.7021565923042827,0.7120225557407835
16.701,5.900400961073485,5.849074428792475,0.0,0.0,0.0,0.7013253855943214,0.7128412891527653
17.201,5.839860291534001,6.3250751186811405,0.0,0.0,0.0,0.7015257344015102,0.7126441215448436
17.701,5.765353880379493,6.810990766496829,0.0,0.0,0.0,0.7027957862815898,0.7113916521753977
18.201,5.715814171159162,7.046995087105489,0.0,0.0,0.0,0.7375161651238481,0.6753294797215748
18.701,5.70824412252656,6.985804076869448,0.0,0.0,0.0,0.8147259219238885,0.5798462487119064
19.201,5.701494419158889,6.934481669152147,0.0,0.0,0.0,0.8836965622817504,0.4680602373748664
19.701,5.6799317643409335,6.940703670335747,0.0,0.0,0.0,0.9389939005710772,0.34393379405099733
20.181,5.704581259113414,6.9537564185052005,0.0,0.0,0.0,0.9763979660454748,0.21597919321605918
20.701,5.669677308712083,6.957964230930205,0.0,0.0,0.0,0.9958327470586155,0.0911983546216243
21.181,5.535986265931133,7.017429195110869,0.0,0.0,0.0,0.999975616658115,0.006983272100006272
21.681,5.014766933509742,7.037490489922474,0.0,0.0,0.0,0.999894369530904,0.014534434299135335
22.181,4.490554051839152,7.002592467612138,0.0,0.0,0.0,0.9998379391222799,0.018002652352139707
22.681,3.9612740027593056,6.9478968361141105,0.0,0.0,0.0,0.9998460611181742,0.017545770614946474
23.181,3.4764448918475477,6.88151950139224,0.0,0.0,0.0,0.9998547650306971,0.017042559825610325
23.681,2.9621446826799858,6.8157149171009,0.0,0.0,0.0,0.9999013707090924,0.014044531109238348
24.181,2.478998055484729,6.759313005844994,0.0,0.0,0.0,0.9998767401471971,0.01570046217837248
24.681,2.008688053824752,6.709673359022556,0.0,0.0,0.0,0.9998148683384803,0.019241336993756353
25.181,1.5452509367835876,6.650636400646163,0.0,0.0,0.0,0.9998687420439255,0.016201811117832993
25.681,1.0591598973021095,6.605016063000198,0.0,0.0,0.0,0.9998293662061799,0.018472641168725407
26.181,0.5890715060936038,6.536893613600336,0.0,0.0,0.0,0.9998153771884293,0.019214878026126255
26.681,0.09574271775620319,6.471569502729542,0.0,0.0,0.0,0.9998759965658992,0.01574774559579354
27.181,-0.36980904728296493,6.417220685392871,0.0,0.0,0.0,0.999847998652822,0.01743501046591124
27.681,-0.6755937158290405,6.3451943376991595,0.0,0.0,0.0,-0.999935612407961,0.011347732739009153
28.181,-0.5982083448518601,6.317930336966852,0.0,0.0,0.0,-0.9912599333903551,0.13192325213907022
28.661,-0.5723251895558759,6.316214672011166,0.0,0.0,0.0,-0.9680771406290216,0.2506524482057528
29.161,-0.5409922028629051,6.301116265102525,0.0,0.0,0.0,-0.9236399985389023,0.3832612074017621
29.661,-0.5248578630789046,6.296528409057043,0.0,0.0,0.0,-0.8621892173958595,0.5065863730957588
30.161,-0.5435533569774029,6.325298037072525,0.0,0.0,0.0,-0.7919364370775556,0.6106035371899731
30.661,-0.5464176763649911,6.301350334040613,0.0,0.0,0.0,-0.7232297187117847,0.6906075397590681
31.161,-0.5656960137063786,5.761606135700801,0.0,0.0,0.0,-0.7218834603294735,0.6920146455839973
31.661,-0.5033573732743505,5.235844333236277,0.0,0.0,0.0,-0.7244352675246566,0.6893428342751372
32.161,-0.4160869383657519,4.738588955976342,0.0,0.0,0.0,-0.7255399412701523,0.6881800590119594
32.661,-0.30624055654627125,4.2889621658047234,0.0,0.0,0.0,-0.7266415921226036,0.6870167367666727
33.161,-0.16960442848753773,3.807514504014323,0.0,0.0,0.0,-0.7265594217706257,0.6871036360232232
33.661,-0.14466368444285208,3.3638108052515547,0.0,0.0,0.0,-0.7286874362899814,0.6848464208807213
34.161,0.0022644475661814686,2.89728012765469,0.0,0.0,0.0,-0.7278135689646094,0.6857750424381145
34.661,0.0465738122685622,2.4164429961103164,0.0,0.0,0.0,-0.7264861460516299,0.6871811112036258
35.161,0.09580659528879273,1.9757882215516,0.0,0.0,0.0,-0.7273920910179967,0.6862220820729004
35.661,0.2336717153862565,1.5135196556241248,0.0,0.0,0.0,-0.7276228616547846,0.6859773838817882
36.141,0.3074521177216334,1.0444713207668417,0.0,0.0,0.0,-0.7258269954609169,0.6878772947700615
36.641,0.4397854577143534,0.5601403251650278,0.0,0.0,0.0,-0.7266396626286886,0.6870187775416808
37.141,0.5393767210393127,0.12183733192021676,0.0,0.0,0.0,-0.725860889361012,0.6878415292027958
37.641,0.6111048233865355,0.20052922155385453,0.0,0.0,0.0,-0.6465702031195822,0.7628544896885002
38.141,0.6237000670125205,0.3014272836211474,0.0,0.0,0.0,-0.5494343417830149,0.8355368956960939
38.641,0.6206174152686194,0.3368840011404941,0.0,0.0,0.0,-0.4331715657547451,0.9013114859035042
39.141,0.627486987272204,0.3773958556952156,0.0,0.0,0.0,-0.30460007906923225,0.9524803367162061
39.641,0.6193619050500506,0.39276666263878085,0.0,0.0,0.0,-0.17535072624671494,0.984506029846821
