time,x,y,z,qx,qy,qz,qw
0.15100000000000002,-0.06923990478599303,0.05089532328066706,0.07691355779548115,0.0,0.0,0.0027449177663763785,0.9999962327061317
0.651,0.013264282309035372,0.004192217501875482,0.07691355779548122,0.0,0.0,-0.0009684323715759221,0.9999995310692609
1.151,-0.09415010481148524,-0.08380382043090093,0.07691355779548119,0.0,0.0,0.002620105994323426,0.9999965675163983
1.651,0.0750777531720683,0.13261262159738962,0.07691355779548122,0.0,0.0,0.0049381981749928305,0.999987807025058
2.151,0.1913347696036588,0.08272397391873054,0.07691295985342841,0.0,0.0,0.0013560183038278397,0.9999990806067572
2.651,0.771922263814115,-0.028234339945016965,0.07691295985342841,0.0,0.0,-0.00028812311012605264,0.9999999584925359
3.151,1.1999485841981816,0.11149946382413059,0.07691295985342841,0.0,0.0,-0.0008587638981055378,0.9999996312622157
3.651,1.6934837909579419,0.15372577229589884,0.07691295985342841,0.0,0.0,-0.00443303603045674,0.9999901740475017
4.151,2.2308501354333656,0.04513824222287079,0.07691295985342841,0.0,0.0,0.005088114813465381,0.999987055460042
4.651,2.6460265705294925,0.029310909224738297,0.07691295985342841,0.0,0.0,-0.005161389812555333,0.9999866799388895
5.151,3.180998885805699,0.015570872164792457,0.07691295985342841,0.0,0.0,-0.0005817985862389867,0.9999998307551882
5.651,3.6001737188015683,0.16033305183935365,0.07691295985342841,0.0,0.0,0.0016496294439177811,0.9999986393604232
6.151,4.058707398914094,0.14714562000141426,0.07691295985342841,0.0,0.0,0.002743711763273201,0.9999962360157962
6.651,4.583640307347658,0.19321908409468136,0.07691295985342841,0.0,0.0,0.004276383259290166,0.9999908562313056
7.151,4.930074896045051,0.3952594388351319,0.07691295985342841,0.0,0.0,-0.004701727934523103,0.9999889468161284
7.651,5.600159395602419,0.3236768286223818,0.07691295985342841,0.0,0.0,0.002699688168318576,0.9999963558352569
8.151,6.001599905753893,0.4404055967775545,0.07691295985342841,0.0,0.0,-0.002178641583740776,0.9999976267576086
8.651,6.328652432394813,0.39709668948055704,0.07691350466228633,0.0,0.0,0.06311671262447487,0.9980061525799726
9.151,6.219969093767286,0.26343417261373964,0.07691098281798207,0.0,0.0,0.1735458994949904,0.9848257819373306
9.651,6.304564459095882,0.513527322447823,0.07691295984520127,0.0,0.0,0.30606555801753954,0.9520104380706191
10.151,6.31420134565641,0.37958790703445855,0.07691358219827944,0.0,0.0,0.437620146005236,0.8991599456216652
10.651,6.228242775339352,0.5091237334975383,0.07691295984560446,0.0,0.0,0.5458529827902393,0.837880970770311
11.151,6.322945100589171,0.5527529411685854,0.07691353347466638,0.0,0.0,0.6439976411928278,0.7650274754138402
11.651,6.233698641523566,0.7525257624710593,0.07691295984547644,0.0,0.0,0.7004581878726344,0.7136934405206379
12.151,6.3141862133543185,1.2794668304405667,0.07691295984547647,0.0,0.0,0.6999739290615545,0.7141683965523326
12.651,6.241221784711334,1.6463137925055378,0.07691295984547647,0.0,0.0,0.703637231510658,0.7105593897993444
13.151,6.098991537915148,2.192406388018382,0.07691295984547646,0.0,0.0,0.6981945816316656,0.7159080431034306
13.651,6.167212930919929,2.7026075538945094,0.07691295984547644,0.0,0.0,0.6999547686537241,0.7141871756331891
14.151,6.144068882829079,3.158568662914366,0.07691295984547647,0.0,0.0,0.6999188967663516,0.7142223308952005
